Drug 0
        IC50  Label
38  0.467055      1
39  0.487350      1
40  0.936572      1
41  0.963123      1
42  2.639187      1
Drug 8
        IC50  Label
0  -1.608501      0
1  -1.034718      0
2  -0.802801      0
3  -0.664411      0
4  -0.607599      0
5  -0.600436      0
6  -0.582515      0
7  -0.563311      0
8  -0.531704      0
9  -0.484966      0
10 -0.376315      0
11 -0.352976      0
12 -0.125300      0
13  0.045434      0
14  0.061543      0
15  0.120672      0
16  0.206986      0
17  0.245591      0
18  0.483033      0
19  0.587281      0
20  0.881687      0
21  0.967897      0
22  1.009152      0
23  1.122412      1
24  1.284708      1
25  1.307269      1
26  1.423332      1
27  1.444755      1
28  1.481488      1
29  1.493841      1
30  1.524103      1
31  1.692435      1
32  2.050160      1
33  2.180460      1
34  2.299731      1
35  2.489333      1
36  2.491460      1
37  2.927051      1
38  3.081926      1
39  3.116600      1
40  3.749291      1
41  4.325176      1
42  4.477394      1
Drug 9
        IC50  Label
0  -0.872307      1
1  -0.379540      1
2  -0.198307      1
3  -0.058376      1
4   0.210545      1
5   0.278426      1
6   0.333848      1
7   0.370328      1
8   0.403005      1
9   0.761124      1
10  0.810148      1
11  0.899515      1
12  1.210711      1
13  1.288038      1
14  1.326838      1
15  1.472010      1
16  1.568754      1
17  1.757487      0
18  1.869097      0
19  1.915194      0
20  2.138953      0
21  2.217929      0
22  2.286607      0
23  2.339544      0
24  2.463449      0
25  2.484314      0
26  2.509642      0
27  2.589280      0
28  2.602823      0
29  2.628592      0
30  2.644524      0
31  2.688934      0
32  2.737528      0
33  2.819224      0
34  2.966500      0
35  2.969804      0
36  2.987451      0
37  3.131692      0
38  3.829363      0
39  4.020539      0
40  4.516814      0
41  5.025787      0
42  5.218975      0
Drug 10
        IC50  Label
0   2.442384      1
1   2.757618      1
2   2.789295      1
3   2.900432      1
4   3.379774      1
5   3.654860      1
6   3.701149      1
7   3.756072      1
8   3.853685      1
9   4.069912      1
10  4.356412      0
11  4.429480      0
12  4.432598      0
13  4.436019      0
14  4.468994      0
15  4.554617      0
16  4.627047      0
17  4.675324      0
18  4.716121      0
19  4.911703      0
20  4.985353      0
21  4.996884      0
22  5.111317      0
23  5.131831      0
24  5.151389      0
25  5.169696      0
26  5.234808      0
27  5.315742      0
28  5.331047      0
