,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
count,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0
mean,1.960607723518471,2.794039234235,2.56127088641195,4.511676038071013,2.292110016982759,1.8418211500500248,2.0201232488971246,2.180905326315545,2.516931429751162,1.0554115711213041,2.4551285530920515,2.3358768207031266,1.8443990377788915,2.629719863399727,2.037016796096377,2.8871860781651795,3.169406539379209,3.105330391702383,2.509385800610424,2.390088716052699,2.5150065534024533,2.6359333374860814,2.702740128784936,2.3264059858288038,2.6710490235802657,2.356629781804873,2.089880619772796,2.831194606604829,3.0598016228485667,2.419475347050544,2.713803383090031,2.4563488862483265,2.6379536157134202,2.2923451645404644,3.3729804270093418,2.9308358583533285,2.3277524620520715,1.7353993518077793,2.5370445857407025,2.2805361822106223,1.1216972117684516,2.6479959949151346,2.9644183327977425
std,2.7187436190083316,2.609030738079063,2.5009943239373715,2.4901888729562396,2.5859829897179853,2.7767943835722244,2.7067457202702427,2.4515978513266994,2.2980748198342384,2.6766479130270078,2.8450170113608544,2.80611454881471,2.3641316228680505,2.6631084549380515,2.3930008185758185,2.479568454382075,2.495541866273958,2.425868779674261,2.401951449863123,2.5719717841445275,2.544407336566999,2.502966090535948,2.3580554943960372,2.7832907679375722,2.5250674153408545,2.6076394252008037,2.473046228962395,2.4810299318425395,2.581319246993177,2.986700878220915,2.3887746968495893,2.5851427763163697,2.5700960458716007,2.6447855245804575,2.6157638737398092,2.6090944310188733,2.490163745457123,2.662476565180602,2.4051669039772863,2.506012480180173,2.5940603297016147,2.7043889960959757,2.453081987583784
min,-6.02518598598964,-5.56277529499251,-5.0185486513205,-3.79966114444374,-5.5450665594590305,-6.53411406853404,-7.2098981448946,-4.41946527073676,-5.7381278345578,-6.74182502237563,-6.629053077450019,-5.876104003965599,-6.13826627967796,-5.463263182248981,-6.60204282737114,-5.02913231980309,-3.9011519547869504,-4.89544227280662,-5.08610750330711,-5.28082540122248,-7.20670196897532,-5.194949690714269,-4.09146855170773,-6.44712430575867,-5.52964857924196,-5.6699962471352805,-6.070032965012389,-6.1227442162577494,-5.6166171571172,-7.940388897262349,-4.44818936734988,-6.00022035351759,-5.487276529684969,-6.3479039276612905,-5.6230577774931705,-5.2030748290354,-5.73057060545024,-6.51525703272503,-5.40786618219236,-6.96422940699332,-7.34039294978984,-6.37929439865232,-4.4035145208418
25%,0.6011112240285708,1.256245011617715,1.223473592271605,3.0551260736067727,0.7463846264420191,0.583627399384026,0.7615793839356962,0.0,1.4463402186689203,-0.5607097128633988,0.9050536745522281,0.5500923232676835,0.7204587199741217,0.9673919528510155,0.8726471996071237,1.757670498440415,1.5108178931253027,2.1988197714414275,1.305736798548185,0.985134448270878,1.2829707655582974,1.285033998969725,1.4249748339022577,0.7319107969255434,1.2996248304007474,1.15614379501999,0.6131655053370678,1.3523099003466925,1.7049971493774276,1.0037296956585275,1.4368886908310823,1.1226689326302375,1.2749419030348799,0.9052216376727025,1.96917927560059,1.51889005611263,1.103043224827325,0.4533813274362215,1.0917281127424998,1.2267974044183574,-0.22890648420067222,1.20963564447911,1.3840629697688198
50%,2.42884091281028,3.26539086869824,2.873957758727605,4.913002782070881,2.648339435361555,2.4732013444495102,2.4414961198092797,2.4797375966714252,2.937424209829855,1.819718977854715,2.800169437018865,3.0257916074677302,2.26848916171663,2.829062428807865,2.433178548713105,3.168596307787475,3.54751767890151,3.5353874855563,3.06254359985168,2.749682136119825,3.03255051429924,2.958881147276995,2.964107006187375,2.88939590438203,3.0608951872101846,2.8342283287453354,2.535604969432325,3.2076126129761597,3.6237215568024004,2.8963999049598,2.94629841050136,2.96427402142896,3.07945153882873,2.70713641329111,3.9002290145234104,3.507225130969275,2.5670662399393,2.3281889906515296,3.1088502036988697,2.8647976087525953,1.722986319141505,3.1095158746839098,3.3419675256235752
75%,3.9607773736508998,4.709500731800939,4.347866012565365,6.30528135832029,4.053031826496678,3.75405440591026,3.9972517523484257,4.1867950671331196,4.005046475206442,3.0314451226290227,4.672446312295565,4.419377333893705,3.38353986427557,4.7049486854061495,3.708024730676417,4.705465930068915,4.933803645373393,4.738198042654098,4.208377221257729,4.260172101474924,4.342841495577588,4.426446358038865,4.628753041282198,4.4263652681165775,4.5359016280330255,4.294285362229306,3.912603204653138,4.60655915683241,5.213741155380482,4.902926917827008,4.477777052811375,4.380861297106628,4.52407624661451,4.257773455317673,5.524081841712048,4.845019715379813,4.111942181611961,3.4821956005960852,4.266670557589895,3.9845568268062133,2.8111979384989305,4.561770168372584,4.628511616951993
max,7.676068587742639,8.014970959756159,9.67627245904759,12.8022798969925,8.10896363330275,8.00347169002505,9.23055535804022,7.8705187196978095,7.975367544114491,6.8051933759096395,8.946114356846529,10.4760905591158,7.75520181749913,9.30596686961878,8.490384401267821,9.423400263788961,8.94899501905109,9.893169540771108,7.965643805696829,10.0467346963388,8.3030098714551,7.446939544826651,8.329462655153769,8.30297640565848,9.8183502350474,9.22618670768193,7.79253583009096,7.9380547688361105,9.11020958126902,7.94158587952155,7.58120782134316,7.2801636971856105,9.19204531090221,8.920271762025118,7.810074302188999,8.889763167307269,10.1649081371343,8.49767369017914,8.35862163657918,7.50566084923643,9.304543864964868,9.79248266043413,10.0947525224296
